Position, 2-3
60:ab:67:fe:d1:c5,agent-1,"[-76.0, -84.0, -77.0, -46.0, -71.0, -83.0, None, None, None, None, None, None, None, None, None, None]"
04:92:26:33:a9:d9,agent-2,"[-71.0, -86.0, None, -55.0, None, None, -84.0, None, None, None, None, None, None, None, None, None]"
ac:c1:ee:e2:fa:15,agent-3,"[None, -86.0, None, -53.0, None, None, -87.0, None, None, None, None, None, None, None, None, None]"
c4:9f:4c:79:79:a2,agent-4,"[None, None, None, -49.0, None, None, None, None, None, None, None, None, None, None, None, None]"
60:ab:67:fe:d1:c5,agent-1,"[-76.0, -84.0, -77.0, -45.0, -71.0, -83.0, None, None, None, None, None, None, None, None, None, None]"
04:92:26:33:a9:d9,agent-2,"[-71.0, -86.0, None, -47.0, None, None, -84.0, None, None, None, None, None, None, None, None, None]"
ac:c1:ee:e2:fa:15,agent-3,"[None, -86.0, None, -53.0, None, None, -87.0, None, None, None, None, None, None, None, None, None]"
c4:9f:4c:79:79:a2,agent-4,"[None, None, None, -43.0, None, None, None, None, None, None, None, None, None, None, None, None]"
60:ab:67:fe:d1:c5,agent-1,"[-76.0, -80.0, -81.0, -41.0, -74.0, -83.0, None, None, None, None, None, None, None, None, None, None]"
04:92:26:33:a9:d9,agent-2,"[-66.0, -86.0, None, -49.0, None, None, -84.0, None, None, None, None, None, None, None, None, None]"
ac:c1:ee:e2:fa:15,agent-3,"[None, -86.0, None, -54.0, None, None, -87.0, None, None, None, None, None, None, None, None, None]"
c4:9f:4c:79:79:a2,agent-4,"[None, None, None, -44.0, None, None, None, None, None, None, None, None, None, None, None, None]"

Position, 2-6
60:ab:67:fe:d1:c5,agent-1,"[-76.0, -78.0, None, -39.0, None, -88.0, -89.0, None, None, None, None, None, None, None, None, None]"
04:92:26:33:a9:d9,agent-2,"[-66.0, -77.0, None, -44.0, None, None, -89.0, None, None, None, None, None, None, None, None, None]"
ac:c1:ee:e2:fa:15,agent-3,"[None, None, None, -52.0, None, None, None, None, None, None, None, None, None, None, None, None]"
c4:9f:4c:79:79:a2,agent-4,"[None, None, None, -48.0, None, None, None, None, None, None, None, None, None, None, None, None]"
60:ab:67:fe:d1:c5,agent-1,"[-69.0, -84.0, None, -41.0, -72.0, -88.0, -89.0, None, None, None, None, None, None, None, None, None]"
04:92:26:33:a9:d9,agent-2,"[-66.0, -77.0, None, -46.0, None, None, -89.0, None, None, None, None, None, None, None, None, None]"
ac:c1:ee:e2:fa:15,agent-3,"[None, None, None, -53.0, None, None, None, None, None, None, None, None, None, None, None, None]"
c4:9f:4c:79:79:a2,agent-4,"[None, None, None, -53.0, None, None, None, None, None, None, None, None, None, None, None, None]"
60:ab:67:fe:d1:c5,agent-1,"[-67.0, None, -76.0, -44.0, -71.0, -85.0, -89.0, None, None, None, None, None, None, None, None, None]"
04:92:26:33:a9:d9,agent-2,"[-69.0, None, None, -45.0, None, None, -89.0, None, None, None, None, None, None, None, None, None]"
ac:c1:ee:e2:fa:15,agent-3,"[None, None, None, -52.0, None, None, None, None, None, None, None, None, None, None, None, None]"
c4:9f:4c:79:79:a2,agent-4,"[None, None, None, -42.0, None, None, None, None, None, None, None, None, None, None, None, None]"

Position, 2-9
60:ab:67:fe:d1:c5,agent-1,"[-61.0, -79.0, -75.0, -48.0, -76.0, -81.0, -83.0, None, None, None, None, None, None, None, None, None]"
04:92:26:33:a9:d9,agent-2,"[-68.0, -81.0, None, -45.0, None, None, -86.0, None, None, None, None, None, None, None, None, None]"
ac:c1:ee:e2:fa:15,agent-3,"[None, None, None, -56.0, None, None, None, None, None, None, None, None, None, None, None, None]"
c4:9f:4c:79:79:a2,agent-4,"[None, None, None, -45.0, None, None, None, None, None, None, None, None, None, None, None, None]"
60:ab:67:fe:d1:c5,agent-1,"[-61.0, -79.0, -75.0, -48.0, -76.0, -81.0, None, None, None, None, None, None, None, None, None, None]"
04:92:26:33:a9:d9,agent-2,"[-69.0, -81.0, None, -50.0, None, None, None, None, None, None, None, None, None, None, None, None]"
ac:c1:ee:e2:fa:15,agent-3,"[None, None, None, -54.0, None, None, None, None, None, None, None, None, None, None, None, None]"
c4:9f:4c:79:79:a2,agent-4,"[None, None, None, -46.0, None, None, None, None, None, None, None, None, None, None, None, None]"
60:ab:67:fe:d1:c5,agent-1,"[-61.0, -79.0, None, -44.0, None, -81.0, None, None, None, None, None, None, None, None, None, None]"
04:92:26:33:a9:d9,agent-2,"[-69.0, -81.0, None, -54.0, None, None, None, None, None, None, None, None, None, None, None, None]"
ac:c1:ee:e2:fa:15,agent-3,"[None, None, None, -54.0, None, None, None, None, None, None, None, None, None, None, None, None]"
c4:9f:4c:79:79:a2,agent-4,"[None, None, None, -47.0, None, None, None, None, None, None, None, None, None, None, None, None]"

Position, 2-12
60:ab:67:fe:d1:c5,agent-1,"[-61.0, -79.0, None, -54.0, None, -81.0, -83.0, None, None, None, None, None, None, None, None, None]"
04:92:26:33:a9:d9,agent-2,"[-66.0, -77.0, None, -64.0, None, None, -85.0, None, None, None, None, None, None, None, None, None]"
ac:c1:ee:e2:fa:15,agent-3,"[None, None, None, -55.0, None, None, None, None, None, None, None, None, None, None, None, None]"
c4:9f:4c:79:79:a2,agent-4,"[None, None, None, -77.0, None, None, None, None, None, None, None, None, None, None, None, None]"
60:ab:67:fe:d1:c5,agent-1,"[-61.0, -78.0, -77.0, -55.0, -79.0, -81.0, -84.0, None, None, None, None, None, None, None, None, None]"
04:92:26:33:a9:d9,agent-2,"[-66.0, -77.0, None, -62.0, None, None, -85.0, None, None, None, None, None, None, None, None, None]"
ac:c1:ee:e2:fa:15,agent-3,"[None, None, None, -56.0, None, None, None, None, None, None, None, None, None, None, None, None]"
c4:9f:4c:79:79:a2,agent-4,"[None, None, None, -75.0, None, None, None, None, None, None, None, None, None, None, None, None]"
60:ab:67:fe:d1:c5,agent-1,"[-69.0, -78.0, -75.0, -42.0, -77.0, -81.0, -84.0, None, None, None, None, None, None, None, None, None]"
04:92:26:33:a9:d9,agent-2,"[-67.0, -82.0, None, -64.0, None, None, -84.0, None, None, None, None, None, None, None, None, None]"
ac:c1:ee:e2:fa:15,agent-3,"[None, None, None, -52.0, None, None, None, None, None, None, None, None, None, None, None, None]"
c4:9f:4c:79:79:a2,agent-4,"[None, None, None, -58.0, None, None, None, None, None, None, None, None, None, None, None, None]"

Position, 4-12
60:ab:67:fe:d1:c5,agent-1,"[-69.0, -78.0, None, -41.0, None, -81.0, -84.0, None, None, None, None, None, None, None, None, None]"
04:92:26:33:a9:d9,agent-2,"[-57.0, -76.0, None, -56.0, None, None, -87.0, None, None, None, None, None, None, None, None, None]"
ac:c1:ee:e2:fa:15,agent-3,"[None, None, None, -50.0, None, None, None, None, None, None, None, None, None, None, None, None]"
c4:9f:4c:79:79:a2,agent-4,"[None, None, None, -69.0, None, None, None, None, None, None, None, None, None, None, None, None]"
60:ab:67:fe:d1:c5,agent-1,"[-54.0, -78.0, -75.0, -62.0, -77.0, -81.0, -87.0, None, None, None, None, None, None, None, None, None]"
04:92:26:33:a9:d9,agent-2,"[-59.0, -76.0, None, -58.0, None, None, -82.0, None, None, None, None, None, None, None, None, None]"
ac:c1:ee:e2:fa:15,agent-3,"[None, None, None, -50.0, None, None, None, None, None, None, None, None, None, None, None, None]"
c4:9f:4c:79:79:a2,agent-4,"[None, None, None, -72.0, None, None, None, None, None, None, None, None, None, None, None, None]"
60:ab:67:fe:d1:c5,agent-1,"[-54.0, -78.0, -75.0, -52.0, -77.0, -81.0, -87.0, None, None, None, None, None, None, None, None, None]"
04:92:26:33:a9:d9,agent-2,"[-59.0, -76.0, None, -58.0, None, None, -82.0, None, None, None, None, None, None, None, None, None]"
ac:c1:ee:e2:fa:15,agent-3,"[None, None, None, -50.0, None, None, None, None, None, None, None, None, None, None, None, None]"
c4:9f:4c:79:79:a2,agent-4,"[None, None, None, -59.0, None, None, None, None, None, None, None, None, None, None, None, None]"

Position, 4-9
60:ab:67:fe:d1:c5,agent-1,"[-54.0, -78.0, None, -40.0, None, -81.0, -87.0, None, None, None, None, None, None, None, None, None]"
04:92:26:33:a9:d9,agent-2,"[-63.0, -77.0, None, -56.0, None, None, -83.0, None, None, None, None, None, None, None, None, None]"
ac:c1:ee:e2:fa:15,agent-3,"[None, None, None, -51.0, None, None, None, None, None, None, None, None, None, None, None, None]"
c4:9f:4c:79:79:a2,agent-4,"[None, None, None, -59.0, None, None, None, None, None, None, None, None, None, None, None, None]"
60:ab:67:fe:d1:c5,agent-1,"[-69.0, -79.0, -77.0, -45.0, -76.0, -88.0, -86.0, None, None, None, None, None, None, None, None, None]"
04:92:26:33:a9:d9,agent-2,"[-66.0, -77.0, None, -51.0, None, None, -83.0, None, None, None, None, None, None, None, None, None]"
ac:c1:ee:e2:fa:15,agent-3,"[None, None, None, -50.0, None, None, None, None, None, None, None, None, None, None, None, None]"
c4:9f:4c:79:79:a2,agent-4,"[None, None, None, -50.0, None, None, None, None, None, None, None, None, None, None, None, None]"
60:ab:67:fe:d1:c5,agent-1,"[None, -77.0, -76.0, -51.0, -81.0, -87.0, -85.0, None, None, None, None, None, None, None, None, None]"
04:92:26:33:a9:d9,agent-2,"[None, -81.0, None, -60.0, None, None, -86.0, None, None, None, None, None, None, None, None, None]"
ac:c1:ee:e2:fa:15,agent-3,"[None, None, None, -50.0, None, None, None, None, None, None, None, None, None, None, None, None]"
c4:9f:4c:79:79:a2,agent-4,"[None, None, None, -49.0, None, None, None, None, None, None, None, None, None, None, None, None]"

Position, 4-6
60:ab:67:fe:d1:c5,agent-1,"[-66.0, -82.0, None, -41.0, None, -88.0, -90.0, None, None, None, None, None, None, None, None, None]"
04:92:26:33:a9:d9,agent-2,"[-70.0, -84.0, None, -42.0, None, None, -86.0, None, None, None, None, None, None, None, None, None]"
ac:c1:ee:e2:fa:15,agent-3,"[None, None, None, -49.0, None, None, None, None, None, None, None, None, None, None, None, None]"
c4:9f:4c:79:79:a2,agent-4,"[None, None, None, -40.0, None, None, None, None, None, None, None, None, None, None, None, None]"
60:ab:67:fe:d1:c5,agent-1,"[-66.0, -82.0, None, -53.0, None, -88.0, -90.0, None, None, None, None, None, None, None, None, None]"
04:92:26:33:a9:d9,agent-2,"[-74.0, -82.0, None, -45.0, None, None, -87.0, None, None, None, None, None, None, None, None, None]"
ac:c1:ee:e2:fa:15,agent-3,"[None, None, None, -50.0, None, None, None, None, None, None, None, None, None, None, None, None]"
c4:9f:4c:79:79:a2,agent-4,"[None, None, None, -36.0, None, None, None, None, None, None, None, None, None, None, None, None]"
60:ab:67:fe:d1:c5,agent-1,"[-76.0, -82.0, -82.0, -38.0, -76.0, -85.0, -90.0, None, None, None, None, None, None, None, None, None]"
04:92:26:33:a9:d9,agent-2,"[-74.0, -82.0, None, -45.0, None, None, -87.0, None, None, None, None, None, None, None, None, None]"
ac:c1:ee:e2:fa:15,agent-3,"[None, None, None, -50.0, None, None, None, None, None, None, None, None, None, None, None, None]"
c4:9f:4c:79:79:a2,agent-4,"[None, None, None, -39.0, None, None, None, None, None, None, None, None, None, None, None, None]"

Position, 4-3
60:ab:67:fe:d1:c5,agent-1,"[-72.0, -82.0, None, -54.0, None, None, -90.0, None, None, None, None, None, None, None, None, None]"
04:92:26:33:a9:d9,agent-2,"[-73.0, -83.0, None, -49.0, None, None, -86.0, None, None, None, None, None, None, None, None, None]"
ac:c1:ee:e2:fa:15,agent-3,"[None, None, None, -48.0, None, None, None, None, None, None, None, None, None, None, None, None]"
c4:9f:4c:79:79:a2,agent-4,"[None, None, None, -60.0, None, None, None, None, None, None, None, None, None, None, None, None]"
60:ab:67:fe:d1:c5,agent-1,"[-72.0, -84.0, -78.0, -47.0, -72.0, -85.0, -90.0, None, None, None, None, None, None, None, None, None]"
04:92:26:33:a9:d9,agent-2,"[-73.0, -83.0, None, -53.0, None, None, -86.0, None, None, None, None, None, None, None, None, None]"
ac:c1:ee:e2:fa:15,agent-3,"[None, None, None, -49.0, None, None, None, None, None, None, None, None, None, None, None, None]"
c4:9f:4c:79:79:a2,agent-4,"[None, None, None, -64.0, None, None, None, None, None, None, None, None, None, None, None, None]"
60:ab:67:fe:d1:c5,agent-1,"[-74.0, -82.0, -79.0, -45.0, -75.0, -83.0, -90.0, None, None, None, None, None, None, None, None, None]"
04:92:26:33:a9:d9,agent-2,"[-73.0, -83.0, None, -47.0, None, None, -86.0, None, None, None, None, None, None, None, None, None]"
ac:c1:ee:e2:fa:15,agent-3,"[None, None, None, -49.0, None, None, None, None, None, None, None, None, None, None, None, None]"
c4:9f:4c:79:79:a2,agent-4,"[None, None, None, -62.0, None, None, None, None, None, None, None, None, None, None, None, None]"
