Position, 3-1
60:ab:67:fe:d1:c5,agent-1,"[-70.0, None, None, -66.0, None, -86.0, None, None, None, None, None, None, None, None, None, None]"
04:92:26:33:a9:d9,agent-2,"[-65.0, -80.0, None, -77.0, None, None, -82.0, None, None, None, None, None, None, None, None, None]"
ac:c1:ee:e2:fa:15,agent-3,"[None, None, None, -50.0, None, None, None, None, None, None, None, None, None, None, None, None]"
c4:9f:4c:79:79:a2,agent-4,"[None, None, None, -68.0, None, None, None, None, None, None, None, None, None, None, None, None]"
60:ab:67:fe:d1:c5,agent-1,"[-68.0, -82.0, -80.0, -65.0, None, -82.0, None, None, None, None, None, None, None, None, None, None]"
04:92:26:33:a9:d9,agent-2,"[-65.0, -80.0, None, -67.0, None, None, -85.0, None, None, None, None, None, None, None, None, None]"
ac:c1:ee:e2:fa:15,agent-3,"[None, None, None, -50.0, None, None, None, None, None, None, None, None, None, None, None, None]"
c4:9f:4c:79:79:a2,agent-4,"[None, None, None, -69.0, None, None, None, None, None, None, None, None, None, None, None, None]"
60:ab:67:fe:d1:c5,agent-1,"[-68.0, -82.0, -81.0, -72.0, -86.0, -81.0, None, None, None, None, None, None, None, None, None, None]"
04:92:26:33:a9:d9,agent-2,"[-66.0, -78.0, None, -68.0, None, None, -85.0, None, None, None, None, None, None, None, None, None]"
ac:c1:ee:e2:fa:15,agent-3,"[None, None, None, -50.0, None, None, None, None, None, None, None, None, None, None, None, None]"
c4:9f:4c:79:79:a2,agent-4,"[None, None, None, -73.0, None, None, None, None, None, None, None, None, None, None, None, None]"

Position, 6-1
60:ab:67:fe:d1:c5,agent-1,"[-66.0, -79.0, None, -58.0, None, -74.0, -84.0, None, None, None, None, None, None, None, None, None]"
04:92:26:33:a9:d9,agent-2,"[-66.0, -78.0, None, -67.0, None, None, -85.0, None, None, None, None, None, None, None, None, None]"
ac:c1:ee:e2:fa:15,agent-3,"[None, None, None, -51.0, None, None, None, None, None, None, None, None, None, None, None, None]"
c4:9f:4c:79:79:a2,agent-4,"[None, None, None, -70.0, None, None, None, None, None, None, None, None, None, None, None, None]"
60:ab:67:fe:d1:c5,agent-1,"[-66.0, None, None, -54.0, None, -74.0, -84.0, None, None, None, None, None, None, None, None, None]"
04:92:26:33:a9:d9,agent-2,"[-64.0, None, None, -72.0, None, None, -85.0, None, None, None, None, None, None, None, None, None]"
ac:c1:ee:e2:fa:15,agent-3,"[None, None, None, -53.0, None, None, None, None, None, None, None, None, None, None, None, None]"
c4:9f:4c:79:79:a2,agent-4,"[None, None, None, -67.0, None, None, None, None, None, None, None, None, None, None, None, None]"
60:ab:67:fe:d1:c5,agent-1,"[-66.0, None, None, -57.0, None, -74.0, -84.0, None, None, None, None, None, None, None, None, None]"
04:92:26:33:a9:d9,agent-2,"[-64.0, None, None, -72.0, None, None, -85.0, None, None, None, None, None, None, None, None, None]"
ac:c1:ee:e2:fa:15,agent-3,"[None, None, None, -55.0, None, None, None, None, None, None, None, None, None, None, None, None]"
c4:9f:4c:79:79:a2,agent-4,"[None, None, None, -70.0, None, None, None, None, None, None, None, None, None, None, None, None]"

Position, 9-1
60:ab:67:fe:d1:c5,agent-1,"[-57.0, -79.0, -81.0, -51.0, -84.0, -74.0, -84.0, None, None, None, None, None, None, None, None, None]"
04:92:26:33:a9:d9,agent-2,"[-62.0, -76.0, None, -63.0, None, None, -85.0, None, None, None, None, None, None, None, None, None]"
ac:c1:ee:e2:fa:15,agent-3,"[None, None, None, -55.0, None, None, None, None, None, None, None, None, None, None, None, None]"
c4:9f:4c:79:79:a2,agent-4,"[None, None, None, -70.0, None, None, None, None, None, None, None, None, None, None, None, None]"
60:ab:67:fe:d1:c5,agent-1,"[-60.0, -82.0, -83.0, -55.0, -84.0, -74.0, None, None, None, None, None, None, None, None, None, None]"
04:92:26:33:a9:d9,agent-2,"[-55.0, -76.0, None, -67.0, None, None, None, None, None, None, None, None, None, None, None, None]"
ac:c1:ee:e2:fa:15,agent-3,"[None, None, None, -54.0, None, None, None, None, None, None, None, None, None, None, None, None]"
c4:9f:4c:79:79:a2,agent-4,"[None, None, None, -64.0, None, None, None, None, None, None, None, None, None, None, None, None]"
60:ab:67:fe:d1:c5,agent-1,"[-57.0, -82.0, -80.0, -49.0, -84.0, -74.0, -87.0, None, None, None, None, None, None, None, None, None]"
04:92:26:33:a9:d9,agent-2,"[-57.0, -81.0, None, -61.0, None, None, -82.0, None, None, None, None, None, None, None, None, None]"
ac:c1:ee:e2:fa:15,agent-3,"[None, None, None, -54.0, None, None, None, None, None, None, None, None, None, None, None, None]"
c4:9f:4c:79:79:a2,agent-4,"[None, None, None, -64.0, None, None, None, None, None, None, None, None, None, None, None, None]"

Position, 12-1
60:ab:67:fe:d1:c5,agent-1,"[-58.0, -77.0, -79.0, -52.0, -84.0, -75.0, -80.0, None, None, None, None, None, None, None, None, None]"
04:92:26:33:a9:d9,agent-2,"[-58.0, -72.0, None, -67.0, None, None, -81.0, None, None, None, None, None, None, None, None, None]"
ac:c1:ee:e2:fa:15,agent-3,"[None, None, None, -54.0, None, None, None, None, None, None, None, None, None, None, None, None]"
c4:9f:4c:79:79:a2,agent-4,"[None, None, None, -68.0, None, None, None, None, None, None, None, None, None, None, None, None]"
60:ab:67:fe:d1:c5,agent-1,"[-58.0, -77.0, -79.0, -55.0, -84.0, -75.0, -80.0, None, None, None, None, None, None, None, None, None]"
04:92:26:33:a9:d9,agent-2,"[-58.0, -72.0, None, -59.0, None, None, -81.0, None, None, None, None, None, None, None, None, None]"
ac:c1:ee:e2:fa:15,agent-3,"[None, None, None, -54.0, None, None, None, None, None, None, None, None, None, None, None, None]"
c4:9f:4c:79:79:a2,agent-4,"[None, None, None, -72.0, None, None, None, None, None, None, None, None, None, None, None, None]"
60:ab:67:fe:d1:c5,agent-1,"[-58.0, -77.0, -79.0, -48.0, -84.0, -75.0, -80.0, None, None, None, None, None, None, None, None, None]"
04:92:26:33:a9:d9,agent-2,"[-59.0, -72.0, None, -58.0, None, None, -80.0, None, None, None, None, None, None, None, None, None]"
ac:c1:ee:e2:fa:15,agent-3,"[None, None, None, -51.0, None, None, None, None, None, None, None, None, None, None, None, None]"
c4:9f:4c:79:79:a2,agent-4,"[None, None, None, -61.0, None, None, None, None, None, None, None, None, None, None, None, None]"

Position, 15-1
60:ab:67:fe:d1:c5,agent-1,"[-67.0, None, -64.0, -61.0, -77.0, -87.0, -77.0, None, None, None, None, None, None, None, None, None]"
04:92:26:33:a9:d9,agent-2,"[-69.0, None, None, -68.0, None, None, -81.0, None, None, None, None, None, None, None, None, None]"
ac:c1:ee:e2:fa:15,agent-3,"[None, None, None, -51.0, None, None, None, None, None, None, None, None, None, None, None, None]"
c4:9f:4c:79:79:a2,agent-4,"[None, None, None, -72.0, None, None, None, None, None, None, None, None, None, None, None, None]"
60:ab:67:fe:d1:c5,agent-1,"[-68.0, -74.0, -65.0, -58.0, -75.0, -89.0, -74.0, None, None, None, None, None, None, None, None, None]"
04:92:26:33:a9:d9,agent-2,"[-68.0, -72.0, None, -77.0, None, None, -81.0, None, None, None, None, None, None, None, None, None]"
ac:c1:ee:e2:fa:15,agent-3,"[None, None, None, -53.0, None, None, None, None, None, None, None, None, None, None, None, None]"
c4:9f:4c:79:79:a2,agent-4,"[None, None, None, -70.0, None, None, None, None, None, None, None, None, None, None, None, None]"
60:ab:67:fe:d1:c5,agent-1,"[-68.0, -74.0, -65.0, -58.0, -75.0, -89.0, -74.0, None, None, None, None, None, None, None, None, None]"
04:92:26:33:a9:d9,agent-2,"[-68.0, -72.0, None, -77.0, None, None, -81.0, None, None, None, None, None, None, None, None, None]"
ac:c1:ee:e2:fa:15,agent-3,"[None, None, None, -52.0, None, None, None, None, None, None, None, None, None, None, None, None]"
c4:9f:4c:79:79:a2,agent-4,"[None, None, None, -68.0, None, None, None, None, None, None, None, None, None, None, None, None]"

Position, 18-1
60:ab:67:fe:d1:c5,agent-1,"[-69.0, -57.0, -62.0, -72.0, -70.0, -89.0, -66.0, None, None, None, None, -90.0, None, None, None, None]"
04:92:26:33:a9:d9,agent-2,"[-72.0, -58.0, None, -77.0, None, None, -74.0, None, None, None, None, None, None, None, None, None]"
ac:c1:ee:e2:fa:15,agent-3,"[None, None, None, -53.0, None, None, None, None, None, None, None, None, None, None, None, None]"
c4:9f:4c:79:79:a2,agent-4,"[None, None, None, -79.0, None, None, None, None, None, None, None, None, None, None, None, None]"
60:ab:67:fe:d1:c5,agent-1,"[-69.0, -57.0, None, -63.0, -70.0, -89.0, -66.0, None, None, None, None, -90.0, None, None, None, None]"
04:92:26:33:a9:d9,agent-2,"[-72.0, -54.0, None, -77.0, None, None, -73.0, None, None, None, None, None, None, None, None, None]"
ac:c1:ee:e2:fa:15,agent-3,"[None, None, None, -52.0, None, None, None, None, None, None, None, None, None, None, None, None]"
c4:9f:4c:79:79:a2,agent-4,"[None, None, None, -75.0, None, None, None, None, None, None, None, None, None, None, None, None]"
60:ab:67:fe:d1:c5,agent-1,"[-66.0, -60.0, -63.0, -67.0, -71.0, -89.0, -69.0, None, None, None, None, -90.0, None, None, None, None]"
04:92:26:33:a9:d9,agent-2,"[-72.0, -54.0, None, -77.0, None, None, -73.0, None, None, None, None, None, None, None, None, None]"
ac:c1:ee:e2:fa:15,agent-3,"[None, None, None, -50.0, None, None, None, None, None, None, None, None, None, None, None, None]"
c4:9f:4c:79:79:a2,agent-4,"[None, None, None, -74.0, None, None, None, None, None, None, None, None, None, None, None, None]"

Position, 21-1
60:ab:67:fe:d1:c5,agent-1,"[-77.0, -67.0, -64.0, -77.0, -77.0, -88.0, None, None, None, None, None, -90.0, None, None, None, None]"
04:92:26:33:a9:d9,agent-2,"[-75.0, -53.0, None, None, None, None, -78.0, None, None, None, None, None, None, None, None, None]"
ac:c1:ee:e2:fa:15,agent-3,"[-80.0, None, -87.0, -47.0, -78.0, -88.0, None, None, None, None, None, None, None, None, None, None]"
c4:9f:4c:79:79:a2,agent-4,"[None, None, None, -78.0, None, None, None, None, None, None, None, None, None, None, None, None]"
60:ab:67:fe:d1:c5,agent-1,"[-77.0, -67.0, -64.0, -77.0, -77.0, -88.0, -76.0, None, None, None, None, -90.0, None, None, None, None]"
04:92:26:33:a9:d9,agent-2,"[-71.0, -55.0, None, None, None, None, -74.0, None, None, None, None, None, None, None, None, None]"
ac:c1:ee:e2:fa:15,agent-3,"[-80.0, None, -87.0, -46.0, -78.0, -88.0, None, None, None, None, None, None, None, None, None, None]"
c4:9f:4c:79:79:a2,agent-4,"[None, None, None, -76.0, None, None, None, None, None, None, None, None, None, None, None, None]"
